1,肖申克的救赎,9.7,导演: 弗兰克·德拉邦特 Frank Darabont,1994,2971922人评价,希望让人自由。
2,霸王别姬,9.6,导演: 陈凯歌 Kaige Chen,1993,2196123人评价,风华绝代。
3,阿甘正传,9.5,导演: 罗伯特·泽米吉斯 Robert Zemeckis,1994,2214915人评价,一部美国近现代史。
4,泰坦尼克号,9.5,导演: 詹姆斯·卡梅隆 James Cameron,1997,2251228人评价,失去的才是永恒的。 
5,这个杀手不太冷,9.4,导演: 吕克·贝松 Luc Besson,1994,2346249人评价,怪蜀黍和小萝莉不得不说的故事。
6,千与千寻,9.4,导演: 宫崎骏 Hayao Miyazaki,2001,2298212人评价,最好的宫崎骏，最好的久石让。 
7,美丽人生,9.5,导演: 罗伯托·贝尼尼 Roberto Benigni,1997,1357363人评价,最美的谎言。
8,星际穿越,9.4,导演: 克里斯托弗·诺兰 Christopher Nolan,2014,1908197人评价,爱是一种力量，让我们超越时空感知它的存在。
9,盗梦空间,9.4,导演: 克里斯托弗·诺兰 Christopher Nolan,2010,2118094人评价,诺兰给了我们一场无法盗取的梦。
10,辛德勒的名单,9.5,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,1993,1146663人评价,拯救一个人，就是拯救整个世界。
11,楚门的世界,9.4,导演: 彼得·威尔 Peter Weir,1998,1768237人评价,如果再也不能见到你，祝你早安，午安，晚安。
12,忠犬八公的故事,9.4,导演: 莱塞·霍尔斯道姆 Lasse Hallström,2009,1426744人评价,永远都不能忘记你所爱的人。
13,海上钢琴师,9.3,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,1998,1715620人评价,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
14,三傻大闹宝莱坞,9.2,导演: 拉库马·希拉尼 Rajkumar Hirani,2009,1901146人评价,英俊版憨豆，高情商版谢耳朵。
15,放牛班的春天,9.3,导演: 克里斯托夫·巴拉蒂 Christophe Barratier,2004,1345046人评价,天籁一般的童声，是最接近上帝的存在。 
16,机器人总动员,9.3,导演: 安德鲁·斯坦顿 Andrew Stanton,2008,1348890人评价,小瓦力，大人生。
17,疯狂动物城,9.2,导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,2016,2001371人评价,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
